Designator,Mid X,Mid Y,Rotation,Layer
C201,161.5,-104.2,180.0,top
C202,151.605,-108.35,180.0,top
C203,184.7,-76.8,180.0,top
C204,156.205,-110.65,0.0,top
C205,151.605,-110.65,180.0,top
C206,156.205,-108.35,0.0,top
C207,180.0,-75.5,270.0,top
C208,159.33,-117.85,270.0,top
C209,160.28,-117.85,270.0,top
C210,156.08,-119.35,270.0,top
C211,152.78,-117.83,90.0,top
C212,160.005,-108.55,180.0,top
C213,158.13,-119.35,90.0,top
C214,174.95,-112.3,90.0,top
C215,177.25,-112.3,90.0,top
C216,174.95,-116.9,270.0,top
C217,177.25,-116.9,270.0,top
C301,165.07,-91.1,0.0,top
C302,165.55,-89.7,90.0,top
C303,142.875,-77.6,180.0,top
C304,142.875,-75.2,180.0,top
C401,180.78,-78.7,0.0,top
C402,178.775,-77.2,0.0,top
C403,162.1375,-85.5475,90.0,top
C404,178.48,-78.4,0.0,top
C405,175.4,-104.9,270.0,top
C406,185.0,-103.5,90.0,top
C407,180.2,-103.7,270.0,top
D401,138.45,-118.35,90.0,top
D402,155.3375,-85.5475,180.0,top
D403,152.94,-94.0,0.0,top
D404,184.15,-79.25,0.0,top
D405,187.4,-75.55,0.0,top
F201,151.885,-102.75,180.0,top
F401,143.1125,-104.0,180.0,top
F402,143.0125,-87.2,180.0,top
F403,184.5625,-110.8,0.0,top
F404,179.6625,-100.3,0.0,top
F405,159.9,-97.6,90.0,top
J301,162.5,-70.5,270.0,bottom
J302,183.4,-120.125,180.0,top
J401,138.725,-95.6,90.0,top
J402,137.965,-109.6,90.0,top
J403,137.965,-81.6,90.0,top
J404,167.6,-96.675,0.0,top
J405,191.0,-82.0,90.0,top
J406,191.0,-108.0,90.0,top
J407,179.74,-95.0,180.0,top
JP301,152.4,-81.28,270.0,top
JP302,168.91,-77.47,180.0,top
JP303,163.83,-77.47,180.0,top
JP304,160.0,-77.47,180.0,top
JP305,172.72,-77.47,180.0,top
JP306,152.4,-77.47,270.0,top
JP401,156.6675,-90.17,270.0,top
L201,166.68,-114.6,0.0,top
Q301,184.2625,-113.85,0.0,top
Q401,148.835,-98.7,0.0,top
R201,153.5,-121.25,90.0,top
R202,156.68,-121.25,90.0,top
R203,155.48,-121.25,270.0,top
R204,153.75,-118.75,270.0,top
R205,160.28,-110.775,90.0,top
R206,157.18,-119.35,90.0,top
R207,159.08,-119.7,270.0,top
R208,154.5,-121.25,270.0,top
R301,170.1,-82.3,180.0,top
R302,172.1,-82.3,180.0,top
R303,165.04,-92.11,0.0,top
R304,188.41,-114.9,0.0,top
R305,186.9,-115.21,90.0,top
R401,140.05,-118.95,90.0,top
R402,140.05,-117.04,90.0,top
R403,154.8,-87.8,180.0,top
R404,181.3,-80.59,90.0,top
R405,190.4,-87.8,180.0,top
R406,190.2,-102.2,180.0,top
R407,190.4,-76.2,180.0,top
R408,190.2,-113.8,180.0,top
SW301,171.4,-84.6,180.0,top
SW302,161.8,-90.7,270.0,top
U201,182.6,-75.7,180.0,top
U202,156.23,-115.2,90.0,top
U301,169.15,-89.7,90.0,top
U401,159.4875,-85.5725,180.0,top
U402,178.2,-81.5,90.0,top
U403,184.1,-82.0,0.0,top
U404,184.1625,-107.5,180.0,top
U405,178.2,-88.6,270.0,top
